20160212	18	38	Variable	11	0
20160213	22,8	25	0	0	0
20160214	23,2	20	O	29	0
20160215	21,4	46	NO	11	0
20160216	22	38	ONO	23	0
20160217	23,4	38	NO	37	0
20160218	19,2	46	ONO	37	0
20160219	15,3	39	ONO	31	0
20160220	14,2	39	NO	18	0
20160221	15,5	48	O	33	0
20160222	16,3	47	SE	12	0
20160223	14,5	60	E	3	23
20160224	15,6	62	ONO	5	0
20160225	19,1	55	ONO	15	0
20160226	19,7	49	NO	13,505	0
20160227	19,5	45	0	0	0
20160228	19,3	39	O	35	0
20160301	18,6	47	O	25	0
20160302	20	40	O	27	0
20160303	17,9	48	ONO	35	0
20160304	14,9	44	ONO	43	1,5
20160305	13,6	39	Variable	9	0
20160306	17,7	42	NO	5	0
20160307	21,2	43	0	0	0
20160308	20,7	46	NO	38	0
20160309	13,1	66	O	29	0
20160310	11,3	46	ONO	39	1,2
20160311	13,4	64	NO	46	2
20160312	10,5	59	O	40	2
20160313	9,6	61	O	35	3
20160314	7,8	54	O	33	8
20160315	9,4	55	O	40	1
20160316	11	77	O	16	7
20160317	6,4	92	0	0	35
20160318	10,1	61	O	35	5
20160319	11,8	57	O	42	0
20160320	8,4	56	0	0	0
20160321	12,4	33	N	11	0
20160322	13,4	68	O	53	0,2
20160323	13,9	50	O	53	0
20160324	9	34	ONO	6	0
20160325	10,2	58	NO	7	0
20160326	11,7	49	Variable	3	0
20160327	14,8	45	NO	13	0
20160328	17,2	58	NO	38	0
20160329	13,2	54	NNO	14	0
20160330	16,4	63	ONO	36	0
20160331	14,1	54	0	0	0
20160401	16,2	35	0	0	0
20160402	15,4	46	0	0	0
20160403	16,4	57	NO	24	0
20160404	12	61	O	57	0
20160405	8	45	O	25	3
20160406	5,8	61	Variable	3	0
20160407	9,1	54	NO	13	0
20160408	12,2	52	0	0	0
20160409	9,8	92	O	22	6
20160410	6,6	89	NO	24	18
20160411	3,4	89	O	14	52,5
20160412	7,4	61	O	29	2
20160413	10,8	37	SE	18	0
20160414	7,7	69	SE	5	0
20160415	11,3	69	0	0	0
20160416	15,1	61	NO	35	0
20160417	8,8	53	ONO	26	0
20160418	9,2	69	O	11	0
20160419	15,1	62	O	42	0
20160420	13,4	64	O	27	0
20160421	14,2	57	NO	20	0
20160422	8,3	61	O	33	0,5
20160423	5,6	60	0	0	0
20160424	6,4	67	ONO	5	0
20160425	8,3	63	0	0	0
20160426	8	87	ONO	26	0
20160427	6,7	66	ONO	38	12,8
20160428	5	65	NO	4	0
20160429	6,7	63	0	0	0
20160430	9,2	23	NE	32	0
20160501	6	90	SE	8	0
20160502	9	75	NO	27	6
20160503	7,2	60	ONO	21	0
20160504	4,3	65	SE	13	0
20160505	7,1	93	SE	15	0,2
20160506	10,3	82	0	0	1,2
20160507	9	85	0	0	0
20160508	9,1	92	SE	9	0,1
20160509	7,7	96	0	0	0
20160510	10	68	O	38	0
20160511	12,4	56	O	35	0
20160512	10,6	72	0	0	0
20160513	8	84	NO	20	0
20160514	6,2	73	O	33	4
20160515	6,3	60	NO	5	0,1
20160516	5,6	58	0	0	0
20160517	7,2	92	0	0	6
20160518	9,6	68	O	31	1
20160519	6,3	71	0	0	0
20160520	9,1	47	O	22	0
20160521	4,1	69	SE	5	0
20160522	4,2	72	0	0	0
20160523	7,1	66	Variable	3	0
20160524	6,5	86	Variable	4	0
20160525	9,3	76	Variable	4	0
20160526	7,4	72	ONO	31	4,8
20160527	7,3	64	N	19	0
20160528	6,3	81	O	31	12
20160529	7,4	62	O	24	0
20160530	0,4	96	0	0	1
20160531	1	75	E	6	4,5
20160601	-0,8	77	E	13	0
20160602	2,6	69	ESE	17	0
20160603	2,6	74	SSE	13	0
20160604	2,2	75	Variable	3	0
20160605	0,8	96	SO	7	0,2
